name,category,price,description,is_vegetarian,is_spicy,preparation_time
Black Tea,Tea,20,Traditional black tea,true,false,5
Ginger Black Tea,Tea,30,Black tea with ginger,true,false,5
Masala Black Tea,Tea,40,Spiced black tea,true,true,5
Milk Tea,Tea,30,Tea with milk,true,false,5
Lemon Tea,Tea,30,Tea with lemon,true,false,5
Hot Milk,Tea,50,Hot milk,true,false,5
Milk Masala Tea,Tea,50,Spiced milk tea,true,true,5
Hot Lemon,Tea,60,Hot lemon drink,true,false,5
Peach Tea,Tea,80,Peach flavored tea,true,false,5
Hot Lemon with Honey & Ginger,Tea,150,Hot lemon with honey and ginger,true,false,5
Hot Chocolate,Tea,190,Rich hot chocolate,true,false,10
Black Coffee,Coffee,100,Pure black coffee,true,false,5
Milk Coffee,Coffee,150,Coffee with milk,true,false,5
Cold Milk Coffee,Coffee,220,Iced coffee with milk,true,false,10
Banana Lassi,Lassi,150,Banana yogurt drink,true,false,10
Sweet Lassi,Lassi,120,Sweet yogurt drink,true,false,10
Coke,Cold Beverage,70,Coca-Cola,true,false,2
Fanta,Cold Beverage,70,Orange soda,true,false,2
Sprite,Cold Beverage,70,Lemon-lime soda,true,false,2
Slice,Cold Beverage,70,Mango drink,true,false,2
Dew,Cold Beverage,70,Mountain Dew,true,false,2
Cold Lemon,Cold Beverage,60,Cold lemon drink,true,false,5
Red Bull,Cold Beverage,150,Energy drink,true,false,2
Vanilla Milk Shake,Shakes,190,Vanilla flavored shake,true,false,10
Strawberry Milk Shake,Shakes,190,Strawberry flavored shake,true,false,10
Chocolate Milk Shake,Shakes,200,Chocolate flavored shake,true,false,10
Oreo Milk Shake,Shakes,220,Oreo cookie shake,true,false,10
Mango Smoothie,Shakes,300,Fresh mango smoothie,true,false,10
Strawberry Smoothie,Shakes,300,Fresh strawberry smoothie,true,false,10
Blueberry Smoothie,Shakes,300,Fresh blueberry smoothie,true,false,10
Fresh Lemon Soda,Lemonade,130,Fresh lemon with soda,true,false,5
Virgin Mojito,Lemonade,170,Non-alcoholic mojito,true,false,10
Sprite Lemonade,Lemonade,130,Sprite with lemon,true,false,5
Boiled Egg (1 pcs),Breakfast,40,Single boiled egg,false,false,10
Sunny Side Up,Breakfast,80,Fried egg sunny side up,false,false,10
Scramble Egg,Breakfast,120,Scrambled eggs,false,false,10
Bread Omelette,Breakfast,150,Omelette with bread,false,false,15
Plain Omelette,Breakfast,100,Plain egg omelette,false,false,10
Masala Omelette,Breakfast,150,Spiced omelette,false,true,15
French Toast,Breakfast,150,Sweet bread toast,true,false,15
Aloo Paratha,Breakfast,140,Potato stuffed flatbread,true,false,20
Pan Cake,Breakfast,150,Fluffy pancakes,true,false,15
Food Zone Special Breakfast,Breakfast,300,Complete breakfast set,false,false,25
Buff Sausage (2 Pcs),Sausage,100,Buffalo sausages,false,false,15
Buff Sausage Chilly (4 pcs),Sausage,250,Spicy buffalo sausages,false,true,20
Chicken Sausage (2 pcs),Sausage,100,Chicken sausages,false,false,15
Chicken Sausage Chilly (4 pcs),Sausage,250,Spicy chicken sausages,false,true,20
Buff Sukuti with Cheura,Non Veg Snacks,350,Dried buffalo with beaten rice,false,false,20
Buff Sukuti Sandeko,Non Veg Snacks,300,Spiced dried buffalo,false,true,20
Buff Chilly,Non Veg Snacks,290,Spicy buffalo stir-fry,false,true,25
Buff Sekuwa,Non Veg Snacks,300,Grilled buffalo,false,false,30
Buff Choila,Non Veg Snacks,280,Spiced grilled buffalo,false,true,25
Buff Keema with Egg Fry,Non Veg Snacks,250,Minced buffalo with fried egg,false,false,25
Chicken Lollipop (4pcs),Non Veg Snacks,280,Fried chicken drumettes,false,false,25
Chicken Roast,Non Veg Snacks,300,Roasted chicken,false,false,35
Chicken Chilly (boneless),Non Veg Snacks,300,Spicy boneless chicken,false,true,25
Chicken Nuggets,Non Veg Snacks,300,Breaded chicken pieces,false,false,20
Chicken Sandeko,Non Veg Snacks,300,Spiced chicken,false,true,25
Chicken Choila,Non Veg Snacks,320,Spiced grilled chicken,false,true,25
Chicken Tass,Non Veg Snacks,350,Spicy chicken dish,false,true,30
Chicken Tawa,Non Veg Snacks,350,Pan-fried chicken,false,false,30
Chicken Sekuwa,Non Veg Snacks,350,Grilled chicken,false,false,30
Grilled Chicken,Non Veg Snacks,350,Grilled chicken pieces,false,false,30
Timmur Chicken,Non Veg Snacks,380,Sichuan pepper chicken,false,true,30
Buffalo Wings (6 Pcs),Non Veg Snacks,380,Spicy chicken wings,false,true,25
Crispy Chicken with Fries,Non Veg Snacks,400,Crispy chicken and fries,false,false,30
Grilled Pork,Non Veg Snacks,350,Grilled pork,false,false,35
Pork Sandeko,Non Veg Snacks,350,Spiced pork,false,true,30
Pork Chilli,Non Veg Snacks,380,Spicy pork stir-fry,false,true,30
Pork Sekuwa,Non Veg Snacks,380,Grilled pork skewers,false,false,35
Grilled Pork with Pineapple,Non Veg Snacks,450,Grilled pork with pineapple,false,false,35
Fry/Dry Papad,Veg Snacks,50,Crispy lentil wafer,true,false,5
Aalu Sandeko,Veg Snacks,100,Spiced potato,true,true,15
Bhatmas Sandeko,Veg Snacks,100,Spiced soybeans,true,true,15
Veg Pakoda,Veg Snacks,160,Vegetable fritters,true,false,20
French Fry,Veg Snacks,180,Crispy potato fries,true,false,15
Wai Wai Sadheko,Veg Snacks,130,Spiced instant noodles,true,true,10
Wai Wai Mix Fry,Veg Snacks,150,Fried instant noodles mix,true,false,15
Badam Sadheko,Veg Snacks,150,Spiced peanuts,true,true,10
Mustang Aalu,Veg Snacks,200,Mustang style potato,true,false,25
Onion Rings,Veg Snacks,200,Crispy onion rings,true,false,15
French Fries Chilly,Veg Snacks,250,Spicy french fries,true,true,20
Paneer Pakoda,Veg Snacks,300,Cottage cheese fritters,true,false,20
Paneer Chilli,Veg Snacks,300,Spicy cottage cheese,true,true,25
Veg Burger,Burger,150,Vegetable patty burger,true,false,20
Buff Burger,Burger,200,Buffalo patty burger,false,false,20
Chicken Burger,Burger,220,Chicken patty burger,false,false,20
Veg Burger with Cheese,Burger,240,Veg burger with cheese,true,false,20
Buff Burger with Cheese,Burger,250,Buff burger with cheese,false,false,20
Chicken Burger with Cheese,Burger,250,Chicken burger with cheese,false,false,20
Plain Matar Pulao,Fried Rice,120,Peas rice,true,false,25
Veg Fried Rice,Fried Rice,150,Vegetable fried rice,true,false,25
Buff Fried Rice,Fried Rice,180,Buffalo fried rice,false,false,30
Sausage Fried Rice,Fried Rice,180,Sausage fried rice,false,false,30
Chicken Fried Rice,Fried Rice,180,Chicken fried rice,false,false,30
Egg Fried Rice,Fried Rice,180,Egg fried rice,false,false,25
Mix Fried Rice,Fried Rice,250,Mixed meat fried rice,false,false,35
Aloo Matar Curry,Curry,130,Potato and peas curry,true,false,30
Mix Veg Curry,Curry,150,Mixed vegetable curry,true,false,30
Mushroom Curry,Curry,180,Mushroom curry,true,false,30
Chicken Curry,Curry,180,Chicken curry,false,false,35
Matar Paneer Curry,Curry,250,Peas and cottage cheese curry,true,false,35
Chicken Butter Masala,Curry,250,Creamy chicken curry,false,false,40
Paneer Butter Masala,Curry,300,Creamy cottage cheese curry,true,false,35
Current Noodles,Noodles,150,Plain instant noodles,true,false,15
Veg Current Noodles,Noodles,180,Vegetable instant noodles,true,false,20
Buff Current Noodles,Noodles,180,Buffalo instant noodles,false,false,20
Egg Current Noodles,Noodles,180,Egg instant noodles,false,false,20
Chicken Current Noodles,Noodles,180,Chicken instant noodles,false,false,20
Ramen,Noodles,400,Ramen with noodles sausage and egg,false,false,30
Veg Sandwich,Sandwich,150,Vegetable sandwich,true,false,15
Egg Sandwich,Sandwich,180,Egg sandwich,false,false,15
Chicken Sandwich,Sandwich,180,Chicken sandwich,false,false,20
Chicken Cheese Sandwich,Sandwich,180,Chicken sandwich with cheese,false,false,20
Veg Cheese Sandwich,Sandwich,250,Veg sandwich with cheese,true,false,15
Club Sandwich,Sandwich,250,Triple-decker sandwich,false,false,25
Green Salad,Salad,150,Fresh green salad,true,false,10
Mix Fruit Salad,Salad,300,Mixed fruit salad,true,false,15
Cheese Pizza (Medium),Pizza,400,Cheese pizza,true,false,30
Veg Pizza (Medium),Pizza,450,Vegetable pizza,true,false,30
Mushroom Pizza (Medium),Pizza,480,Mushroom pizza,true,false,30
Chicken Pizza (Medium),Pizza,500,Chicken pizza,false,false,35
Meat Lover Pizza (Medium),Pizza,600,Mixed meat pizza,false,false,35
